Item,Quantity,Description,Footprint,Notes
Seeeduino XIAO RP2040,1,Microcontroller module,MODULE-SEEEDUINO-XIAO,Main MCU
Tactile Switch,8,Momentary push button,SW_Push,Direct-wired keys
Custom PCB,1,Main board,PCB,Manufactured via JLCPCB/PCBWay
Keycaps,8,MX-compatible keycaps,N/A,Optional for labeling
USB-C Cable,1,Power + data,N/A,Connects XIAO to PC
Screws M3x16,4,Case mounting hardware,N/A,Used for top/bottom plate
3D Printed Case,1,Enclosure,N/A,Printed at school/maker space
Solder,1,Assembly consumable,N/A,Used for soldering switches + XIAO
